qid;label
Q117468354;Kidical Mass
Q115899578;Killing of Hasan Hosnan
Q16568970;Kimura lock
Q11739279;Kindermord
Q6130253;Kinetic Energy Interceptor
Q122624860;King's Road style
Q28130248;Kingdom of Jesus Christ
Q12321889;Kinomutay
Q3197286;Kipura
Q12321894;kirib
Q1924206;knife fight
Q4236497;Kokh
Q107294785;Koral
Q12623876;Korean Air and Missile Defense
Q6781874;Koshti
Q1347107;Kriens RSC Missile
Q114731387;Kryvyi Rih strikes (2022–present)
Q42393128;KS-1 SAM
Q11392019;kuge-ryō
Q159879;Kulturkampf
Q9683607;kuni-ikki
Q11621880;kurairichi
Q936515;Kurash
Q129742020;Kursk region in the Russo-Ukrainian War
Q106610633;Kuwait and state-sponsored terrorism
Q19696961;Kyin
Q11370241;Kyūshū campaign
Q22971925;L-SAM
Q5782934;labor dispute
Q1037755;labor unrest
Q3937904;land claim
Q6483832;land-use conflict
Q2371837;language conflict
Q9020347;larrikinism
Q3817498;last stand
Q6498435;launch on warning
Q116176464;laundry workers' strike
Q1554584;law of criminal procedure
Q1056489;lawsuit against a supernatural being
Q6505031;Lawsuits involving Dell Inc.
Q96389593;Lawsuits involving Meta Platforms
Q133154470;Lawsuits involving the Department of Government Efficiency
Q125217043;Lawsuits involving TikTok
Q16932409;legal case management
Q6517480;legal debate
Q6942426;Legal issues surrounding music sampling
Q2698974;legal purge in Norway after World War II
Q26913948;legendary battle
Q1165564;Lekianoba
Q104518926;Lenovo controversies
Q1518249;LFK NG
Q29028238;LGBT protests against Donald Trump
Q125506609;LGBT+ protest
Q123857836;Libya and state-sponsored terrorism
Q62168047;light bombing
Q1452759;LIM-49A Spartan
Q2247326;limited war
Q154278;limpeza étnica
Q13582471;Limpeza social
Q6555360;lion-baiting
Q124611982;list of terrorist incidents against Israelis in Israel and the Palestinian territories in 2024
Q131618649;List of terrorist incidents against Israelis in Israel and the Palestinian territories in 2025
Q13427130;Lista de Revoltas Camponesas
Q4291346;Local anti-aircraft defence
Q112765848;local trial
Q134303927;location in Spanish Civil War
Q159377;locaute
Q10319505;Lockin
Q11653052;long-running court case
Q106006806;lordship
Q1126912;low altitude parachute extraction system
Q28669018;Luftfaust-A
Q28669001;Luftfaust-B
Q42486;luta
Q838089;luta amadora
Q2527950;Luta antissuperfície
Q1066914;luta de cães
Q1722922;Luta de camelo
Q1744607;luta de classes
Q6037238;Luta de inseto
Q644638;Luta de Lancashire
Q4923444;luta de rua
Q389654;luta greco-romana
Q1877811;Luta livre esportiva
Q327223;luta livre olímpica
Q10321058;Luta marajoara
Q644522;Luta senegalesa
Q327248;Luta tradicional
Q6705952;Lutte Traditionnelle
Q6460438;LY-60 / FD-60 / PL10
Q88468342;M-1 Volna
Q4123575;M-1 Volna
Q11273512;M-SAM
Q56279868;Mahoney v Ashton
Q25512705;main battle
Q125456254;mainland China court decision
Q4273016;malicious prosecution
Q6741161;Malla khra
Q6744011;Malla-yuddha
Q371006;Malón
Q1465101;Man-portable air-defense system
Q17990729;managerial revolution
Q3374310;mandatory sentencing
Q1176224;manufactured controversy
Q15631336;marcha de protesto
Q125470976;Marcha do Orgulho Trans de São Paulo
Q7833678;Marcha trans
Q1894011;Marconi scandal
Q24884785;Mard o-mard
Q67912210;Marengo trial
Q3515785;marine paratrooper jump
Q3746796;Marinha de águas marrons
Q6765759;marital breakdown
Q2492461;Maritime delimitation between Romania and Ukraine
Q17049991;maritime interdiction
Q11558718;Maritime Security Action
Q374318;Maritime security operations
Q1415495;Markomannia incident
Q133828508;mass protest
Q11867144;mass resignation
Q318702;Massa Crítica
Q810406;Massacre da Basileia
Q579179;Massacre de Halabja
Q74435466;massive fare evasion
Q578967;Masurca
Q747376;match fixing
Q16844746;match fixing in association football
Q65119406;Match fixing in tennis
Q23808565;match fixing related to gambling
Q3828206;Matxinada
Q1362172;May Day in Kreuzberg
Q116226652;meat industry strike
Q1427900;meat scandal
Q91680087;mechanized infantry command
Q91198419;mechanized infantry warfare
Q3119107;media warfare
Q422886;Medidas ativas
Q20479353;Medieval heretical movements
Q135091735;MediSafe controversy
Q814290;meeting engagement
Q106432602;Mehrab
Q1293039;mêlée
Q2882967;Membros da Igreja de Deus Internacional
Q30324955;Memetic warfare
Q104865403;memory war
Q112813327;mention in witch trial  in Scotland
Q6820528;Mersad
Q1430863;Metralhamento
Q122848031;Microsoft controversy
Q2549531;migração de regresso
Q2575688;militarization
Q96393187;militarization of the internet
Q11613845;military aircraft operation
Q135105539;Military attacks on nuclear facilities
Q105197913;military blow
Q25339878;military charge
Q131782363;military conflict
Q41950781;military conflict
Q131656428;military convoy
Q25416338;military convoy series
Q5256317;military demonstration
Q11571100;military diversion
Q1384277;military expedition
Q112214020;military mutiny
Q2739113;military operations other than war
Q130975199;military operations other than war
Q16145053;military sabotage
Q123822512;military satellite communications
Q11657076;military scandal
Q2508200;military simulation
Q6857862;military strike
Q12409220;Milkhemet Mitzvah
Q3027784;MilSim
Q482925;MIM-14 Nike Hercules
Q482414;MIM-23 Hawk
Q130324670;MIM-23 Hawk Launcher
Q689403;MIM-46 Mauler
Q16126375;mine warfare
Q6864043;mine-clearing line charge
Q25416696;minelaying
Q853284;Mineriad
Q130704709;miners' strike
Q16821261;minesweeping
Q5562337;Minor battles in The Lord of the Rings
Q2903115;Misagh-1
Q2903473;Misagh-2
Q28713960;Misagh-3
Q11631563;misbombing
Q756212;Mísseis SA-15 Gauntlet
Q574594;míssil antibalístico
Q1755193;Míssil Sea Dart
Q466704;míssil superfície-ar
Q119441857;Missile attack on Kryvyi Rih, 13 June 2023
Q124347434;missile blow to Ukraine
Q111034471;missile strike
Q11631566;mistaken arrest
Q54225;Mistral
Q98716897;Mixed emotions
Q112765883;mixed trial
Q56524590;Mokkar Boli Khela
Q1207182;Mongolian wrestling
Q65171;world war
Q6900693;monkey-baiting
Q1844009;Monopsiquismo
Q747802;Mórmon
Q124030970;Mormon apologetics
Q24946927;Mormon sexual abuse cases
Q3850041;Mormon studies
Q6912692;Mormonism and Freemasonry
Q5909263;Mormonism in Russia
Q30674637;Mormonism in the Pacific Northwest
Q2235125;mortes em massa sob regimes comunistas
Q511866;motim
Q7209603;Motim policial
Q134086509;motion to compel disclosure
Q62935524;motorized warfare
Q1210930;mountain warfare
Q10332881;Movimentos Emancipacionistas
Q12222393;Mowag Spy
Q3147745;mud fighting
Q1747884;mud wrestling
Q4571027;Mukna
Q65280870;music hoarding
Q25051720;Mutual combat
Q1749274;Naban
Q172560;nage waza
Q1703630;Nam tiến
Q20986437;naming dispute
Q6966097;Narodno rvanje
Q18458312;national flag and anthem controversies in Japan
Q102100590;NATO operation
Q27653727;naval bombing of a city
Q17772965;naval capture
Q6982006;naval gunfire support
Q133800469;naval mutiny
Q6982012;naval offensive
Q113782315;naval operation
Q55624886;Nazi persecution of Jews during the 1936 Olympic Games
Q113527644;neighborhood dispute
Q1140666;network-centric warfare
Q121470056;Nevada Supreme Court decision
Q1437158;New Zealand foreshore and seabed controversy
Q115599065;nice sailing
Q125364588;Nigeria Supreme Court decision
Q15138428;night bombing
Q1962707;night combat
Q1990116;Nike Ajax
Q7034798;Nike J
Q20203096;Nike-X
Q2310318;Njinga
Q65229975;NKPWA World Heavyweight Champions
Q1093520;Nobel Prize controversies
Q3735153;non-combatant evacuation operation
Q38704413;nontrinitarian
Q118119509;Norwegian Supreme Court decision
Q3345493;Novilhada
Q700291;NRA Military Region
Q3112909;Nuba fighting
Q29828960;nuclear escalation
Q757581;Nuclear Explosions for the National Economy
Q11409997;Nuclear plant-related lawsuits
Q98391050;nuclear test series
Q28053962;nuclear tests in Algeria
Q134944302;nuclear weapons tests of the Soviet Union
Q78867551;Nude wrestling
Q7068391;nudity in combat
Q133766;O-Ie Sōdō
Q2254537;occupation of apartments in the German Democratic Republic
Q11620652;ochimusha-gari
Q44854;ocupação
Q528892;Ocupação (protesto)
Q188686;ocupação estrangeira
Q106512266;Ocupações na Venezuela
Q2001676;ofensiva militar
Q12186271;offensive war
Q2946056;Oil boycott (embargo)
Q113868732;Old Belief
Q45790;One Billion Rising
Q420474;operação de bandeira falsa
Q646740;operação de desembarque
Q108316224;Operação Formosa
Q1078746;operação-padrão
Q1060062;operações especiais
Q116924613;Operation Boot
Q2059536;Operation Mersad
Q55138152;Operation Muskox
Q3354777;Operation Nanook
Q22947367;Operation Saegheh
Q5254589;opposition to United States involvement in the Vietnam War
Q116203577;optical industry strike
Q112078203;Orange Nell
Q2310419;organizational conflict
Q24964493;organized horse fighting
Q60791082;Origenist Crises
Q11497732;ōryō
Q15618399;outsize cargo transport
Q1800677;overtime ban
Q130217630;PAC-3 Missile Segment Enhancement
Q7122778;Pacific blockade
Q30897656;Pahlavāni
Q7125743;Pakistan and state sponsored terrorism
Q65149951;Palantin
Q678011;Pále
Q4330027;Palestinian rocket attacks on Israel
Q85875011;pamphlet raid
Q1025005;panelaço
Q1424781;Pantsir-S1
Q7131948;panty raid
Q131394630;Paper genocide
Q66108287;paratrooper drop
Q42374984;parliamentary expenses scandal
Q106508963;party donations scandal
Q3367750;Paseíllo
Q113411195;Patriotism in the Russian Empire at the beginning of the First World War
Q7157511;peace camp
Q2065755;peace support operation
Q4382347;peaceful nuclear explosion
Q20082270;peacekeeping mission
Q2404776;Pehlwani
Q2466181;Pentecostais do Nome de Jesus
Q247649;perception management
Q2007759;Perfídia (militar)
Q130459577;persecution of Assyrians
Q112029888;persecution of Jews in the Nazi era
Q84082210;Persecution of the Jews in Schleswig-Holstein
Q48136;perseguição de Judeus
Q8425767;petitioning in China
Q2736450;petrodollar warfare
Q913939;petty warfare
Q7180913;phase
Q5156789;Philippine revolts against Spain
Q7194742;pin
Q721547;pin (wrestling profissional)
Q104639638;Piorun
Q1480879;piquete de greve
Q11632156;plotting rebellion
Q7206160;poaching
Q177716;pogrom
Q12174482;Pokémon battle
Q27406;polémica
Q7209607;police strike
Q10528555;police-civilian conflicts
Q1682379;Poliorcética
Q7210244;Political abuse of psychiatry in Russia
Q108809873;political conflict
Q19977634;political gridlock
Q2101542;political iconoclasm
Q126329412;political schism
Q16480656;political status of Triệu Dynasty
Q106818827;Popsy
Q116292789;popular bullfighting festival
Q1738401;postal war
Q16969638;Potências neutras na Segunda Guerra Mundial
Q134963816;power struggle
Q28003555;Prayer protest
Q9377327;preemptive war
Q18536127;preliminary hearing
Q76647964;preliminary ruling
Q1759312;Preliminary ruling before the European Court of Justice
Q11898537;Preparation fire
Q136338700;Primavera Asiática
Q111953439;Princely rebellion
Q7245793;prison strike
Q30906782;privateering
Q697327;processo cautelar
Q2334719;processo judicial
Q18288926;processo penale
Q118496881;professional wrestling match type
Q11316150;professional wrestling tag team match types
Q111097809;professional wrestling throw
Q116175863;professional wrestling trainer
Q123587857;promissory coup
Q57399871;promote a democratic referendum
Q2112892;Pronunciamento
Q1635930;Propaganda pelo ato
Q7251589;protest camp
Q98099118;protest emigration
Q42685104;protest note
Q273120;protesto
Q7251595;Protesto artístico
Q1679887;Protesto estudantil
Q4115422;Protesto nu
Q1147337;protesto sentado
Q7251588;Protestos e dissidência na China
Q30253388;Protestos na Rússia em 2017
Q133458419;Protests against Elon Musk
Q131850305;protests against the second presidency of Donald Trump
Q20526846;protests of Croatian war veterans in 2014-2015
Q124458867;protests related to the meeting of right wing extremists at Potsdam in 2023 in Berlin
Q7252185;Protracted social conflict
Q4231811;psychic conflict
Q4120592;psychological operations
Q2177151;public action
Q1761866;puroresu
Q102327942;Q102327942
Q10433153;Q10433153
Q10437082;Q10437082
Q104536173;Q104536173
Q10481251;Q10481251
Q10501340;Q10501340
Q10535390;Q10535390
Q10579231;Q10579231
Q10585844;Q10585844
Q106560100;Q106560100
Q106612811;Q106612811
Q106816738;Q106816738
Q106963495;Q106963495
Q108134690;Q108134690
Q108761356;Q108761356
Q108799197;Q108799197
Q108921040;Q108921040
Q109018958;Q109018958
Q109312672;Q109312672
Q109314645;Q109314645
Q110521716;Q110521716
Q111008574;Q111008574
Q111210437;Q111210437
Q111211318;Q111211318
Q112660671;Q112660671
Q11312547;Q11312547
Q1131895;Q1131895
Q113454288;Q113454288
Q11407139;Q11407139
Q11434254;Q11434254
Q114673644;Q114673644
Q11498662;Q11498662
Q116958156;Q116958156
Q117196736;Q117196736
Q11741362;Q11741362
Q11790278;Q11790278
Q11827307;Q11827307
Q118588116;Q118588116
Q118957122;Q118957122
Q11900102;Q11900102
Q12041579;Q12041579
Q121084644;Q121084644
Q12195211;Q12195211
Q12288035;Q12288035
Q12289443;Q12289443
Q122938397;Q122938397
Q123149274;Q123149274
Q123235767;Q123235767
Q123476273;Q123476273
Q123914751;Q123914751
Q123975001;Q123975001
Q124012559;Q124012559
Q124023201;Q124023201
Q12527811;Q12527811
Q125384445;Q125384445
Q12540139;Q12540139
Q125471889;Q125471889
Q125471901;Q125471901
Q125471913;Q125471913
Q125505401;Q125505401
Q125505402;Q125505402
Q12551662;Q12551662
Q125537868;Q125537868
Q125537870;Q125537870
Q125637007;Q125637007
Q125738559;Q125738559
Q12593535;Q12593535
Q125961950;Q125961950
Q126048147;Q126048147
Q126112424;Q126112424
Q126112709;Q126112709
Q126939107;Q126939107
Q127839240;Q127839240
Q1288220;Q1288220
Q129754761;Q129754761
Q129754784;Q129754784
Q129754880;Q129754880
Q129820073;Q129820073
Q129836725;Q129836725
Q129836757;Q129836757
Q129843444;Q129843444
Q131141356;Q131141356
Q131161328;Q131161328
Q131381781;Q131381781
Q13142674;Q13142674
Q131440979;Q131440979
Q131705244;Q131705244
Q133274054;Q133274054
Q133274076;Q133274076
Q133274078;Q133274078
Q133274079;Q133274079
Q133274111;Q133274111
Q133274112;Q133274112
Q133274121;Q133274121
Q133274123;Q133274123
Q133274256;Q133274256
Q133274258;Q133274258
Q133274270;Q133274270
Q133274390;Q133274390
Q133274392;Q133274392
Q133274420;Q133274420
Q133274437;Q133274437
Q133274438;Q133274438
Q133274440;Q133274440
Q133275438;Q133275438
Q133275450;Q133275450
Q133275458;Q133275458
Q133275463;Q133275463
Q133275530;Q133275530
Q133275535;Q133275535
Q133275546;Q133275546
Q133275551;Q133275551
Q133286368;Q133286368
Q133286383;Q133286383
Q133286387;Q133286387
Q133286388;Q133286388
Q133286393;Q133286393
Q133286394;Q133286394
Q133286395;Q133286395
Q133286414;Q133286414
Q133286417;Q133286417
Q133286431;Q133286431
Q133286432;Q133286432
Q133286473;Q133286473
Q133286474;Q133286474
Q133286490;Q133286490
Q133286561;Q133286561
Q133286604;Q133286604
Q133286609;Q133286609
Q133286615;Q133286615
Q133286618;Q133286618
Q133286662;Q133286662
Q133286663;Q133286663
Q133286670;Q133286670
Q133286673;Q133286673
Q133286674;Q133286674
Q133286675;Q133286675
Q133286709;Q133286709
Q133286731;Q133286731
Q133286732;Q133286732
Q133286734;Q133286734
Q133286735;Q133286735
Q133286751;Q133286751
Q133286753;Q133286753
Q133286756;Q133286756
Q133286761;Q133286761
Q133286762;Q133286762
Q133286766;Q133286766
Q133286768;Q133286768
Q133286771;Q133286771
Q133286775;Q133286775
Q133286777;Q133286777
Q133286778;Q133286778
Q133286801;Q133286801
Q133286806;Q133286806
Q133286812;Q133286812
Q133286815;Q133286815
Q133286840;Q133286840
Q133286841;Q133286841
Q133286868;Q133286868
Q133286883;Q133286883
Q133286891;Q133286891
Q133286898;Q133286898
Q133286966;Q133286966
Q133286967;Q133286967
Q133286984;Q133286984
Q133286992;Q133286992
Q133287014;Q133287014
Q133287015;Q133287015
Q133287016;Q133287016
Q133287019;Q133287019
Q133287028;Q133287028
Q133287030;Q133287030
Q133287031;Q133287031
Q133287038;Q133287038
Q133287039;Q133287039
Q133287078;Q133287078
Q133287079;Q133287079
Q133287080;Q133287080
Q133287081;Q133287081
Q133287116;Q133287116
Q133287127;Q133287127
Q133287128;Q133287128
Q133287136;Q133287136
Q133287138;Q133287138
Q133287140;Q133287140
Q133287148;Q133287148
Q133287153;Q133287153
Q133287154;Q133287154
Q133287156;Q133287156
Q133287159;Q133287159
Q133287204;Q133287204
Q133287214;Q133287214
Q133287217;Q133287217
Q133287734;Q133287734
Q133287747;Q133287747
Q133287764;Q133287764
Q133287765;Q133287765
Q133287786;Q133287786
Q133287798;Q133287798
Q133287804;Q133287804
Q133287806;Q133287806
Q133287809;Q133287809
Q133287815;Q133287815
Q133287862;Q133287862
Q133287863;Q133287863
Q133287864;Q133287864
Q133460173;Q133460173
Q133460174;Q133460174
Q133460188;Q133460188
Q133467472;Q133467472
Q133467526;Q133467526
Q133467683;Q133467683
Q133467704;Q133467704
Q133467706;Q133467706
Q133467780;Q133467780
Q133467798;Q133467798
Q133478428;Q133478428
Q133478464;Q133478464
Q133503472;Q133503472
Q133503478;Q133503478
Q133503614;Q133503614
Q133503616;Q133503616
Q133503617;Q133503617
Q133503620;Q133503620
Q133810486;Q133810486
Q133810488;Q133810488
Q133812473;Q133812473
Q133812474;Q133812474
Q133812475;Q133812475
Q133812482;Q133812482
Q133812483;Q133812483
Q133812484;Q133812484
Q133812485;Q133812485
Q133812491;Q133812491
Q133812501;Q133812501
Q133812506;Q133812506
Q133812507;Q133812507
Q133812508;Q133812508
Q133812510;Q133812510
Q133812511;Q133812511
Q133812525;Q133812525
Q133812527;Q133812527
Q133812551;Q133812551
Q133812591;Q133812591
Q133812592;Q133812592
Q133812595;Q133812595
Q133812640;Q133812640
Q133812655;Q133812655
Q133812656;Q133812656
Q133812659;Q133812659
Q133812660;Q133812660
Q133812752;Q133812752
Q133812755;Q133812755
Q133812757;Q133812757
Q133812761;Q133812761
Q133812778;Q133812778
Q133812840;Q133812840
Q133812841;Q133812841
Q133812862;Q133812862
Q133812892;Q133812892
Q133812951;Q133812951
Q133812957;Q133812957
Q133812986;Q133812986
Q133812987;Q133812987
Q133813016;Q133813016
Q133813027;Q133813027
Q133813029;Q133813029
Q133813030;Q133813030
Q133813031;Q133813031
Q133813034;Q133813034
Q133813079;Q133813079
Q133813080;Q133813080
Q133813082;Q133813082
Q133813084;Q133813084
Q133813085;Q133813085
Q133813159;Q133813159
Q133813166;Q133813166
Q133813169;Q133813169
Q133813170;Q133813170
Q133813655;Q133813655
Q133814489;Q133814489
Q133814493;Q133814493
Q133814909;Q133814909
Q133815130;Q133815130
Q133815131;Q133815131
Q133815135;Q133815135
Q133815272;Q133815272
Q133815304;Q133815304
Q133815305;Q133815305
Q133815329;Q133815329
Q133815347;Q133815347
Q133815355;Q133815355
Q133815398;Q133815398
Q133815450;Q133815450
Q133815487;Q133815487
Q133815525;Q133815525
Q133815526;Q133815526
Q133815528;Q133815528
Q133815530;Q133815530
Q133815636;Q133815636
Q133815639;Q133815639
Q133815640;Q133815640
Q133815647;Q133815647
Q133815712;Q133815712
Q133815751;Q133815751
Q133815804;Q133815804
Q133815805;Q133815805
Q133815806;Q133815806
Q133815808;Q133815808
Q133815810;Q133815810
Q133815915;Q133815915
Q133815918;Q133815918
Q133815948;Q133815948
Q133816038;Q133816038
Q133816044;Q133816044
Q133816045;Q133816045
Q133816064;Q133816064
Q133816077;Q133816077
Q133816181;Q133816181
Q133819479;Q133819479
Q133819480;Q133819480
Q133819481;Q133819481
Q133819511;Q133819511
Q133819521;Q133819521
Q133819523;Q133819523
Q133819524;Q133819524
Q133819525;Q133819525
Q133819527;Q133819527
Q133819529;Q133819529
Q133819530;Q133819530
Q133819531;Q133819531
Q133819533;Q133819533
Q133819646;Q133819646
Q133819718;Q133819718
Q133819728;Q133819728
Q133819778;Q133819778
Q133819783;Q133819783
Q133819786;Q133819786
Q133819800;Q133819800
Q133819805;Q133819805
Q133820116;Q133820116
Q133820117;Q133820117
Q133820121;Q133820121
Q133820122;Q133820122
Q133820123;Q133820123
Q133820256;Q133820256
Q133820272;Q133820272
Q133820322;Q133820322
Q133820328;Q133820328
Q133820331;Q133820331
Q133820334;Q133820334
Q133824708;Q133824708
Q133824709;Q133824709
Q133824716;Q133824716
Q133824727;Q133824727
Q133824790;Q133824790
Q133824795;Q133824795
Q133824872;Q133824872
Q133825051;Q133825051
Q133825052;Q133825052
Q133828318;Q133828318
Q133829250;Q133829250
Q133829259;Q133829259
Q133829307;Q133829307
Q133829318;Q133829318
Q133830554;Q133830554
Q133830766;Q133830766
Q133830855;Q133830855
Q133830868;Q133830868
Q133859305;Q133859305
Q134454990;Q134454990
Q1348047;Q1348047
Q1349831;Q1349831
Q135400588;Q135400588
Q135400803;Q135400803
Q135400900;Q135400900
Q135415154;Q135415154
Q136358851;Q136358851
Q1409414;Q1409414
Q14806537;Q14806537
Q15849377;Q15849377
Q15908416;Q15908416
Q15919006;Q15919006
Q16034281;Q16034281
Q16553259;Q16553259
Q1664663;Q1664663
Q16713422;Q16713422
Q16714335;Q16714335
Q16714337;Q16714337
Q16714340;Q16714340
Q16714342;Q16714342
Q16714344;Q16714344
Q16714348;Q16714348
Q16714350;Q16714350
Q16714352;Q16714352
Q16714354;Q16714354
Q16714356;Q16714356
Q1726409;Q1726409
Q17494967;Q17494967
Q1797316;Q1797316
Q18279614;Q18279614
Q18545643;Q18545643
Q1863747;Q1863747
Q19692664;Q19692664
Q19692666;Q19692666
Q19692667;Q19692667
Q19724875;Q19724875
Q19772490;Q19772490
Q19772491;Q19772491
Q19772492;Q19772492
Q19850449;Q19850449
Q20064845;Q20064845
Q2029384;Q2029384
Q2047421;Q2047421
Q20735954;Q20735954
Q2116757;Q2116757
Q21392779;Q21392779
Q21392790;Q21392790
Q2144800;Q2144800
Q2168332;Q2168332
Q21843452;Q21843452
Q2276414;Q2276414
Q2292353;Q2292353
Q2324008;Q2324008
Q2332799;Q2332799
Q2352868;Q2352868
Q2355310;Q2355310
Q2355716;Q2355716
Q23642660;Q23642660
Q23658042;Q23658042
Q2392404;Q2392404
Q24934929;Q24934929
Q2514015;Q2514015
Q2549600;Q2549600
Q2732241;Q2732241
Q27889468;Q27889468
Q2823674;Q2823674
Q2839588;Q2839588
Q2865639;Q2865639
Q28666573;Q28666573
Q28667722;Q28667722
Q28667788;Q28667788
Q2877903;Q2877903
Q2997934;Q2997934
Q2997940;Q2997940
Q30888406;Q30888406
Q30888613;Q30888613
Q30889028;Q30889028
Q30889342;Q30889342
Q30891623;Q30891623
Q30928406;Q30928406
Q31896965;Q31896965
Q32028215;Q32028215
Q3215231;Q3215231
Q3228875;Q3228875
Q32362634;Q32362634
Q3296012;Q3296012
Q3317404;Q3317404
Q3420130;Q3420130
Q3457824;Q3457824
Q4137731;Q4137731
Q4137733;Q4137733
Q4137734;Q4137734
Q4137736;Q4137736
Q4137739;Q4137739
Q4137741;Q4137741
Q4137744;Q4137744
Q4137745;Q4137745
Q4137747;Q4137747
Q4137756;Q4137756
Q4137759;Q4137759
Q4137760;Q4137760
Q4137763;Q4137763
Q4137765;Q4137765
Q4137772;Q4137772
Q4137775;Q4137775
Q4197896;Q4197896
Q4311061;Q4311061
Q4476549;Q4476549
Q48944981;Q48944981
Q48947201;Q48947201
Q5493480;Q5493480
Q55659753;Q55659753
Q55659754;Q55659754
Q55659755;Q55659755
Q56315594;Q56315594
Q56349462;Q56349462
Q56398985;Q56398985
Q5651642;Q5651642
Q5730419;Q5730419
Q60029764;Q60029764
Q60826226;Q60826226
Q6149939;Q6149939
Q62020230;Q62020230
Q63974624;Q63974624
Q64438516;Q64438516
Q65164730;Q65164730
Q65165610;Q65165610
Q65243848;Q65243848
Q65267555;Q65267555
Q66363230;Q66363230
Q759797;Q759797
Q759798;Q759798
Q76160314;Q76160314
Q81376620;Q81376620
Q81376626;Q81376626
Q81376675;Q81376675
Q81376685;Q81376685
Q81376693;Q81376693
Q85305773;Q85305773
Q86681411;Q86681411
Q86726484;Q86726484
Q885211;Q885211
Q89822180;Q89822180
Q9139064;Q9139064
Q97006937;Q97006937
Q97007122;Q97007122
Q97007449;Q97007449
Q97178039;Q97178039
Q97960925;Q97960925
Q97999411;Q97999411
Q98085342;Q98085342
Q124697151;Qaem
Q121926321;Qaem
Q22949271;Qatar and state-sponsored terrorism
Q48731975;QRSAM
Q1859176;quail fighting
Q2357965;quarrel
Q7311306;Questão religiosa
Q7265620;QW-1 Vanguard
Q753803;QW-2
Q15965742;QW-3
Q82827;R-25 Vulkan
Q752536;R-73
Q7278372;Raad
Q6878284;Radar lock-on
Q476807;raide
Q68157611;rally
Q7292715;Range war
Q942769;rat-baiting
Q89815516;Rattening
Q494497;razia
Q6130595;razia
Q1849777;RBS 23 BAMSE
Q1346290;RBS 70
Q1788694;rear
Q124734;rebelião
Q2254427;rebelião das máquinas
Q1155622;rebelião de escravos
Q2920604;rebelião prisional
Q15112333;rebeliões do período regencial brasileiro
Q264352;reconnaissance in force
Q79791;Reconquista
Q3001431;Recortes
Q7307130;reference question
Q783953;Reivindicações territoriais da Antártida
Q3023186;Reivindicações territoriais soviéticas contra a Turquia
Q124684292;relationship breakdown
Q97243058;relationship conflict
Q130544135;release of heifers
Q7311339;religious cleansing
Q7311342;religious controversy
Q86228393;religious question (Europe)
Q5794065;Religious question during the Second Spanish Republic
Q125730744;Religious relations in Israel
Q7313519;rent strike
Q8561702;repartiment
Q17400461;reply in the Diet
Q18236783;reputation and controversies of Hong Kong Police
Q84400137;resident action
Q1937612;resistência fiscal
Q111660983;resource war
Q1785729;Restoration Church of Jesus Christ of Latter Day Saints
Q1760704;retirada
Q5441540;Retirada fingida
Q7317803;Revelation in Mormonism
Q102076559;reverse strike
Q11410671;revocation suit
Q6107280;revolt
Q13427116;revolta camponesa
Q6103609;revolts during the Turkish War of Independence
Q10931;revolução
Q751967;Revolução burguesa
Q2415843;revolução comunista
Q874579;revolução mundial
Q3827292;revolução não violenta
Q875948;revolução permanente
Q29502;revolução proletária
Q2279967;revolução social
Q5959004;Revolução tecnológica
Q3699;Revoluções de 1848 nos Estados alemães
Q1400365;Revoluções de 1848 nos estados italianos
Q5555532;revolutionary general strike
Q3119121;revolutionary war
Q11604427;rice riot
Q255043;Rigorosum
Q7276786;RIM-101
Q7276789;RIM-113
Q1060737;RIM-116 Rolling Airframe Missile
Q900937;RIM-161 Standard Missile 3
Q1073199;RIM-162 ESSM
Q1051738;RIM-174 Standard ERAM
Q1190906;RIM-2 Terrier
Q44402;RIM-24 Tartar
Q1082702;RIM-50 Typhon
Q1054228;RIM-66 Standard MR
Q1136147;RIM-67 Standard ER
Q602715;RIM-7 Sea Sparrow
Q741489;RIM-8 Talos
Q3928291;RIM-85
Q633954;RIMPAC
Q38482;Rinha
Q319771;rinha de galo
Q7335248;Rio Grande border dispute
Q3319892;riots and uprisings in Amsterdam
Q17166488;Ristynės
Q2155583;riverine operations
Q2541205;road blocking
Q7356122;Rod Blagojevich controversies
Q7357511;Rodéo
Q705254;Roland
Q943496;role conflict
Q124684302;romantic relationship breakdown
Q1675174;Romzug
Q55631960;Rook shooting
Q29530429;roundup
Q7371358;rout
Q16980448;Rowbottom
Q21644203;RS-25 Dal
Q1758846;RSA Missile
Q7277711;RSD 58
Q3452808;Rugball
Q2343450;Russian fist fighting
Q113535918;Russian occupation of Kyiv Oblast
Q136212404;Russian sabotage operations in Europe
Q131407017;Russian withdrawal from Syria
Q28704246;Russian–Ukrainian church war
Q312471;S-125 Neva/Pechora
Q326673;S-200
Q164648;S-25 Berkut
Q1984243;S-300VM
Q4112522;S-350E Vityaz 50R6
Q24938354;S-375
Q2502230;S-500
Q163186;S-75 Dvina
Q60831391;Sabbatarian Pentecostalists, Ukraine
Q11429084;sakai sōron
Q7388617;SAM-N-2 Lark
Q1248258;sanção econômica
Q3471715;Sanções contra a Coreia do Norte
Q11396978;sanctions war
Q15734469;Sayyad-1
Q15712129;Sayyad-2
Q30093169;Sayyad-3
Q86663418;Sayyad-4
Q115775705;Sayyad-4B
Q126288065;schism from the Catholic Church
Q126288051;schism in Buddhism
